2018-03-13
team_name,avgFG,avg3,oppFG,opp3,ftPP,ft,shotsFrom2,shotsFrom3,possPG,toRate,offRebound,defRebound
N HAMPSHIRE,44.3,32.6,50.6,34.1,0.305,73.6,56.7,43.3,67.1,17.2,27.3,79.5
N ILLINOIS,49.8,32.6,54.6,36.0,0.331,73.2,72.6,27.4,70.7,16.6,26.2,72.7
N IOWA,47.3,33.5,46.4,37.0,0.313,71.7,60.4,39.6,65.0,17.2,22.7,79.4
N KENTUCKY,56.0,34.6,46.8,31.8,0.313,73.0,60.5,39.5,71.5,17.2,26.9,75.6
N MEX STATE,52.3,34.0,45.0,30.8,0.291,64.3,63.6,36.4,71.2,17.2,33.9,79.1
NAVY,50.2,32.3,51.8,36.8,0.362,72.0,64.4,35.6,68.4,20.8,29.1,79.8
NC A&AMP;T,54.3,30.3,52.5,33.1,0.375,71.2,64.2,35.8,72.5,19.1,25.5,73.1
NC CENTRAL,51.9,33.2,48.2,33.1,0.312,68.2,68.4,31.6,69.9,20.3,30.5,72.7
NC STATE,52.1,37.2,53.5,31.6,0.339,70.1,66.0,34.0,74.1,16.4,31.4,69.9
NC-ASHEVILLE,51.3,39.1,52.2,34.8,0.313,74.0,63.8,36.2,71.1,19.0,22.7,74.9
NC-GRNSBORO,50.9,35.6,47.0,32.3,0.264,70.1,54.1,45.9,68.9,19.5,32.6,77.6
NC-WILMGTON,47.4,34.5,54.8,39.6,0.311,68.8,66.2,33.8,75.2,17.1,32.9,75.9
NEB OMAHA,50.0,35.8,54.7,38.4,0.273,71.2,63.3,36.7,75.2,17.7,22.5,71.2
NEBRASKA,47.9,34.9,46.5,32.1,0.384,71.7,64.8,35.2,69.8,16.0,28.8,67.8
NEVADA,51.6,39.8,50.7,31.2,0.371,74.7,59.6,40.4,72.9,13.6,26.3,72.4
NEW MEXICO,51.4,37.1,53.7,38.1,0.346,77.4,52.5,47.5,74.4,16.4,22.9,70.1
NEW ORLEANS,47.1,34.9,51.5,37.3,0.423,67.3,75.0,25.0,70.4,21.7,30.3,71.3
NIAGARA,49.4,36.5,50.1,38.2,0.387,72.9,64.0,36.0,77.0,14.6,29.0,71.1
NICHOLLS ST,51.6,34.8,49.7,34.1,0.373,72.2,64.6,35.4,77.7,19.9,28.2,71.2
NJIT,48.1,35.3,51.9,36.9,0.329,67.9,64.2,35.8,72.0,18.2,28.4,72.2
